Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-Aug-23,48.66,49.54,48.36,49.4,49.08578444,623528,2197,30606361,239853,38.47,1.18,0.74
18-Aug-23,48.48,49.41,48.41,48.54,48.84745099,492740,1674,24069093,236971,48.09,1,0.06
17-Aug-23,48.61,49.37,48.22,48.4,48.74611442,348468,1838,16986461,136224,39.09,1.15,-0.21
16-Aug-23,49.22,49.69,48.35,48.54,48.89801461,1508069,6172,73741580,896101,59.42,1.34,-0.68
14-Aug-23,49.8,50.1,48.46,49.77,49.48722698,808814,2498,40025962,357013,44.14,1.64,-0.03
11-Aug-23,48.9,50.15,48.5,49.78,49.37793774,940520,2854,46440938,412371,43.84,1.65,0.88
10-Aug-23,48.5,49.07,48.1,48.37,48.61954608,390820,1641,19001491,163806,41.91,0.97,-0.13
09-Aug-23,48.81,48.94,47.92,48.29,48.33602336,620439,2054,29989554,269859,43.49,1.02,-0.52
08-Aug-23,49.3,49.71,48.55,48.66,49.20125775,743867,3359,36599192,220358,29.62,1.16,-0.64
07-Aug-23,49.06,49.59,48.07,49.03,48.66355183,1817537,7156,88447806,768240,42.27,1.52,-0.03
04-Aug-23,50.53,51,48.81,48.97,49.64212108,3353380,9884,166468896,1086696,32.41,2.19,-1.56
03-Aug-23,48.01,50.5,47.66,50.11,48.93394065,2956175,7551,144657292,605085,20.47,2.84,2.1
02-Aug-23,50.6,51,47.2,47.84,48.91851299,3320112,7690,162414942,925916,27.89,3.8,-2.76
01-Aug-23,49.44,52.2,49.27,49.64,50.62442471,6333332,20127,320621289,1783538,28.16,2.93,0.2
31-Jul-23,45.8,49.13,45.31,48.24,47.9503576,5382677,14539,258101287,1848046,34.33,3.82,2.44
28-Jul-23,44.5,45.68,44.2,44.29,44.95943644,2729790,8428,122729820,1053127,38.58,1.48,-0.21
27-Jul-23,43.49,44.29,42.81,44.1,43.72186198,2501215,6020,109357777,834557,33.37,1.48,0.61
26-Jul-23,44.45,44.6,42.57,42.66,43.55746174,1650942,5662,71910843,614258,37.21,2.03,-1.79
25-Jul-23,42.85,44.2,42.71,44.01,43.81213991,1860624,5157,81517919,993831,53.41,1.49,1.16
24-Jul-23,43.39,43.81,42.42,42.67,42.96127267,1342411,4218,57671685,719829,53.62,1.39,-0.72
21-Jul-23,42.63,43.54,42.35,42.85,43.00930481,1346938,3914,57930867,439014,32.59,1.19,0.22
20-Jul-23,42.6,42.91,42.36,42.47,42.56952195,437797,1441,18636809,184440,42.13,0.55,-0.13
19-Jul-23,42.94,42.94,42.14,42.29,42.36041358,416466,1220,17641672,154070,36.99,0.8,-0.65
18-Jul-23,42.31,42.99,42.25,42.63,42.58510787,1077697,3403,45893843,441814,41,0.74,0.32
17-Jul-23,42.86,43.21,41.95,42.26,42.38604453,506167,1987,21454417,206973,40.89,1.26,-0.6
14-Jul-23,41.58,42.89,41.5,42.81,42.31368212,1150209,3503,48669578,500560,43.52,1.39,1.23
13-Jul-23,42.61,43.27,41.35,41.58,42.30706428,1034500,2234,43766658,327386,31.65,1.92,-1.03
12-Jul-23,42.74,43.2,42.1,42.58,42.74292623,1911109,5588,81686391,673063,35.22,1.1,-0.16
11-Jul-23,42.34,43,41.25,42.07,42.21955222,2266044,5403,95671363,645078,28.47,1.75,-0.27
10-Jul-23,42.01,42.25,40.85,41.65,41.46489812,1423243,3957,59014626,474532,33.34,1.4,-0.36
07-Jul-23,41.47,42.13,40.8,41.62,41.55294977,1772038,3234,73633406,606294,34.21,1.33,0.15
06-Jul-23,41.54,42.8,40.91,41.07,42.00266696,3063787,8068,128687225,1048896,34.24,1.89,-0.47
05-Jul-23,40.16,41.5,40.05,40.66,40.83361511,3582573,5349,146289407,1304557,36.41,1.45,0.5
04-Jul-23,39.2,40.6,38.65,40.16,39.8509375,1499948,3434,59774334,542402,36.16,1.95,0.96
03-Jul-23,38,39.1,38,38.78,38.69396024,1105889,1666,42791225,369116,33.38,1.1,0.78
30-Jun-23,38.17,38.75,37.81,37.87,38.22465703,794816,2687,30381569,444103,55.87,0.94,-0.3
28-Jun-23,37.95,38.54,37.85,38.16,38.22262776,540840,1019,20672326,230236,42.57,0.69,0.21
27-Jun-23,38,38.6,37.7,37.93,38.13541939,1670647,2950,63710824,857857,51.35,0.9,-0.07
26-Jun-23,37.03,38.36,37.03,37.82,37.72762061,1296673,2421,48920387,692319,53.39,1.33,0.79
23-Jun-23,37.99,38,36.61,37.15,37.03615642,2401012,1525,88924256,398670,16.6,1.39,-0.84
22-Jun-23,38.35,38.53,37.66,37.87,38.28822684,1455548,1283,55730352,809823,55.64,0.87,-0.48
21-Jun-23,37.91,39.59,37.91,38.31,38.96094653,1335272,3555,52023461,576940,43.21,1.68,0.4
20-Jun-23,37.74,38.55,37.4,38.3,37.77101165,2989567,2686,112918970,468878,15.68,1.15,0.56
19-Jun-23,37.61,38.2,37.51,37.61,37.77185994,614263,2446,23201856,320601,52.19,0.69,0
16-Jun-23,38.49,38.75,37.4,37.6,38.33254164,3704303,3575,141995349,1194651,32.25,1.35,-0.89
15-Jun-23,38.75,38.9,38,38.1,38.39844296,1719674,2935,66032804,659319,38.34,0.9,-0.65
14-Jun-23,39.05,39.24,38.21,38.51,38.8120625,1494699,2410,58012351,823259,55.08,1.03,-0.54
13-Jun-23,37.74,39.89,37.6,38.91,39.23540124,4132527,3929,162141355,1027435,24.86,2.29,1.17
12-Jun-23,37.32,37.75,37.06,37.37,37.43761279,1154820,2876,43233704,546260,47.3,0.69,0.05
09-Jun-23,36.02,37.49,35.86,36.9,36.84137601,2770098,3155,102054222,1310292,47.3,1.63,0.88
08-Jun-23,37.11,37.38,36.4,36.64,37.00892288,846924,1083,31343745,477871,56.42,0.98,-0.47
07-Jun-23,37.02,37.55,36.55,37.09,37.15779845,1197667,3079,44502669,686369,57.31,1,0.07
06-Jun-23,35.91,36.95,35.6,36.84,36.47115996,566296,1598,20653472,322493,56.95,1.35,0.93
05-Jun-23,36.45,36.74,35.85,35.99,36.37905178,1386705,2678,50447013,410308,29.59,0.89,-0.46
02-Jun-23,36.16,36.39,35.86,36.2,36.11844728,315575,1047,11398079,140046,44.38,0.53,0.04
01-Jun-23,36.9,36.9,35.91,36.05,36.21975773,680645,1694,24652797,258589,37.99,0.99,-0.85
31-May-23,37,37.15,35.52,36.74,36.41860075,3655777,3189,133138283,828614,22.67,1.63,-0.26
30-May-23,33.86,37,33.86,36.69,35.91486523,4922090,8480,176776199,1909050,38.79,3.14,2.83
29-May-23,34.16,34.44,33.6,34.11,33.98498456,685561,1932,23298780,290869,42.43,0.84,-0.05
26-May-23,33.06,34.9,33.06,34.02,34.40890128,963345,1654,33147643,391551,40.64,1.84,0.96
25-May-23,33.21,33.74,33.11,33.24,33.38651048,893034,1790,29815289,380362,42.59,0.63,0.03
24-May-23,33.1,33.6,32.85,33.41,33.23146571,851206,2418,28286823,536610,63.04,0.75,0.31
23-May-23,33.71,33.9,33,33.15,33.41414534,1083622,2935,36208303,606341,55.96,0.9,-0.56
22-May-23,32.5,33.98,32.14,33.82,33.29823286,1832796,3406,61028868,1105398,60.31,1.84,1.32
19-May-23,33.07,33.54,32.05,32.68,32.73367661,1300404,3159,42567004,587504,45.18,1.49,-0.39
18-May-23,34,34.25,32.73,33.07,33.28670017,915064,1832,30459461,443384,48.45,1.52,-0.93
17-May-23,34.13,34.61,33.12,33.58,33.85349884,3017471,5827,102151951,1478359,48.99,1.49,-0.55
16-May-23,33.15,34.97,32.66,34.04,33.99111399,2011815,4464,68383833,768064,38.18,2.31,0.89
