DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Dec-20,EQ,36.65,36.85,36,36.2,36.45,36.5,36.54,40,30.05,1575992,"5,75,87,883.80",15080
23-Dec-20,EQ,37.4,38,35.9,36.8,36,36.2,36.73,40,30.05,2032261,"7,46,52,207.70",7570
22-Dec-20,EQ,34.65,37.3,34.5,36.2,36.7,36.8,35.68,40,30.05,1854982,"6,61,82,969.45",9221
21-Dec-20,EQ,39.85,40,35.3,39.55,36.5,36.2,37.87,40,30.05,2029451,"7,68,49,328.90",10957
18-Dec-20,EQ,39.3,39.8,39.05,39.05,39.65,39.55,39.41,39.8,30.05,2071976,"8,16,52,561.25",7565
17-Dec-20,EQ,39.1,39.6,39,38.95,39,39.05,39.2,39.6,30.05,1812679,"7,10,54,817.70",11491
16-Dec-20,EQ,38.5,39.4,38.3,38.1,39.05,38.95,38.67,39.55,30.05,2540422,"9,82,31,815.10",13818
15-Dec-20,EQ,37.1,38.25,37.1,37.6,38.05,38.1,37.82,39.55,30.05,2757434,"10,42,78,319.55",13285
14-Dec-20,EQ,37.7,37.85,36.1,37.5,37.55,37.6,37.29,39.55,30.05,1669172,"6,22,48,104.15",6821
11-Dec-20,EQ,37.45,37.7,37,37.05,37.5,37.5,37.38,39.55,30.05,1682915,"6,29,12,181.75",6975
10-Dec-20,EQ,37.25,37.9,36.95,37.6,37.2,37.05,37.2,39.55,30.05,1902573,"7,07,70,592.35",8480
09-Dec-20,EQ,34.9,39.55,34.9,34.7,37.6,37.6,37.76,39.55,30.05,9679293,"36,54,75,077.80",26985
08-Dec-20,EQ,35.9,35.95,34.4,35.2,35.1,34.7,34.79,39,30.05,2767501,"9,62,89,373.85",7035
07-Dec-20,EQ,35.05,35.85,34.7,34.9,35.35,35.2,35.13,39,30.05,2264012,"7,95,33,215.85",6144
04-Dec-20,EQ,35,35.35,34.7,34.8,35,34.9,35.02,39,30.05,1283490,"4,49,47,866.20",4762
03-Dec-20,EQ,34.95,35.35,34.4,34.4,34.85,34.8,34.86,39,30.05,1739440,"6,06,38,616.50",8588
02-Dec-20,EQ,34.9,35.4,34.15,34.8,34.4,34.4,34.55,39,30.05,1058999,"3,65,85,460.00",4021
01-Dec-20,EQ,34.5,35.65,34.05,34.35,34.85,34.8,34.84,39,30.05,1553456,"5,41,15,983.05",4936
27-Nov-20,EQ,34.6,34.85,34.1,34.45,34.4,34.35,34.4,39,30.05,1054709,"3,62,77,806.55",7124
26-Nov-20,EQ,34.6,36.05,34.35,34.95,34.45,34.45,34.92,39,30.05,2461538,"8,59,47,091.30",6713
25-Nov-20,EQ,36.35,36.7,34.75,36.2,34.95,34.95,35.33,39,30.05,1673052,"5,91,10,436.55",6345
24-Nov-20,EQ,37.75,39,36,37.3,36.2,36.2,37.09,39,30.05,4370022,"16,20,68,494.50",14203
